,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare
72,964,3,0,29.0,0,0,7.925
73,965,1,1,28.5,0,0,27.7208
74,966,1,0,35.0,0,0,211.5
75,967,1,1,32.5,0,0,211.5
76,968,3,1,30.272590361445783,0,0,8.05
77,969,1,0,55.0,2,0,25.7
78,970,2,1,30.0,0,0,13.0
79,971,3,0,24.0,0,0,7.75
80,972,3,1,6.0,1,1,15.2458
81,973,1,1,67.0,1,0,221.7792
82,974,1,1,49.0,0,0,26.0
83,975,3,1,30.272590361445783,0,0,7.8958
84,976,2,1,30.272590361445783,0,0,10.7083
85,977,3,1,30.272590361445783,1,0,14.4542
86,978,3,0,27.0,0,0,7.8792
87,979,3,0,18.0,0,0,8.05
88,980,3,0,30.272590361445783,0,0,7.75
89,981,2,1,2.0,1,1,23.0
90,982,3,0,22.0,1,0,13.9
91,983,3,1,30.272590361445783,0,0,7.775
92,984,1,0,27.0,1,2,52.0
93,985,3,1,30.272590361445783,0,0,8.05
94,986,1,1,25.0,0,0,26.0
95,987,3,1,25.0,0,0,7.7958
96,988,1,0,76.0,1,0,78.85
97,989,3,1,29.0,0,0,7.925
98,990,3,0,20.0,0,0,7.8542
99,991,3,1,33.0,0,0,8.05
100,992,1,0,43.0,1,0,55.4417
101,993,2,1,27.0,1,0,26.0
102,994,3,1,30.272590361445783,0,0,7.75
103,995,3,1,26.0,0,0,7.775
104,996,3,0,16.0,1,1,8.5167
105,997,3,1,28.0,0,0,22.525
106,998,3,1,21.0,0,0,7.8208
107,999,3,1,30.272590361445783,0,0,7.75
108,1000,3,1,30.272590361445783,0,0,8.7125
109,1001,2,1,18.5,0,0,13.0
110,1002,2,1,41.0,0,0,15.0458
111,1003,3,0,30.272590361445783,0,0,7.7792
112,1004,1,0,36.0,0,0,31.6792
113,1005,3,0,18.5,0,0,7.2833
114,1006,1,0,63.0,1,0,221.7792
115,1007,3,1,18.0,1,0,14.4542
116,1008,3,1,30.272590361445783,0,0,6.4375
117,1009,3,0,1.0,1,1,16.7
118,1010,1,1,36.0,0,0,75.2417
119,1011,2,0,29.0,1,0,26.0
120,1012,2,0,12.0,0,0,15.75
121,1013,3,1,30.272590361445783,1,0,7.75
122,1014,1,0,35.0,1,0,57.75
123,1015,3,1,28.0,0,0,7.25
124,1016,3,1,30.272590361445783,0,0,7.75
125,1017,3,0,17.0,0,1,16.1
126,1018,3,1,22.0,0,0,7.7958
127,1019,3,0,30.272590361445783,2,0,23.25
128,1020,2,1,42.0,0,0,13.0
129,1021,3,1,24.0,0,0,8.05
130,1022,3,1,32.0,0,0,8.05
131,1023,1,1,53.0,0,0,28.5
132,1024,3,0,30.272590361445783,0,4,25.4667
133,1025,3,1,30.272590361445783,1,0,6.4375
134,1026,3,1,43.0,0,0,7.8958
135,1027,3,1,24.0,0,0,7.8542
136,1028,3,1,26.5,0,0,7.225
137,1029,2,1,26.0,0,0,13.0
138,1030,3,0,23.0,0,0,8.05
139,1031,3,1,40.0,1,6,46.9
140,1032,3,0,10.0,5,2,46.9
141,1033,1,0,33.0,0,0,151.55
142,1034,1,1,61.0,1,3,262.375
143,1035,2,1,28.0,0,0,26.0
144,1036,1,1,42.0,0,0,26.55
145,1037,3,1,31.0,3,0,18.0
146,1038,1,1,30.272590361445783,0,0,51.8625
147,1039,3,1,22.0,0,0,8.05
148,1040,1,1,30.272590361445783,0,0,26.55
149,1041,2,1,30.0,1,1,26.0
150,1042,1,0,23.0,0,1,83.1583
151,1043,3,1,30.272590361445783,0,0,7.8958
152,1044,3,1,60.5,0,0,30.272590361445783
153,1045,3,0,36.0,0,2,12.1833
154,1046,3,1,13.0,4,2,31.3875
155,1047,3,1,24.0,0,0,7.55
156,1048,1,0,29.0,0,0,221.7792
157,1049,3,0,23.0,0,0,7.8542
158,1050,1,1,42.0,0,0,26.55
159,1051,3,0,26.0,0,2,13.775
160,1052,3,0,30.272590361445783,0,0,7.7333
161,1053,3,1,7.0,1,1,15.2458
162,1054,2,0,26.0,0,0,13.5
163,1055,3,1,30.272590361445783,0,0,7.0
164,1056,2,1,41.0,0,0,13.0
165,1057,3,0,26.0,1,1,22.025
166,1058,1,1,48.0,0,0,50.4958
167,1059,3,1,18.0,2,2,34.375
168,1060,1,0,30.272590361445783,0,0,27.7208
169,1061,3,0,22.0,0,0,8.9625
170,1062,3,1,30.272590361445783,0,0,7.55
171,1063,3,1,27.0,0,0,7.225
172,1064,3,1,23.0,1,0,13.9
173,1065,3,1,30.272590361445783,0,0,7.2292
174,1066,3,1,40.0,1,5,31.3875
175,1067,2,0,15.0,0,2,39.0
176,1068,2,0,20.0,0,0,36.75
177,1069,1,1,54.0,1,0,55.4417
178,1070,2,0,36.0,0,3,39.0
179,1071,1,0,64.0,0,2,83.1583
180,1072,2,1,30.0,0,0,13.0
181,1073,1,1,37.0,1,1,83.1583
182,1074,1,0,18.0,1,0,53.1
183,1075,3,1,30.272590361445783,0,0,7.75
184,1076,1,0,27.0,1,1,247.5208
185,1077,2,1,40.0,0,0,16.0
186,1078,2,0,21.0,0,1,21.0
187,1079,3,1,17.0,2,0,8.05
188,1080,3,0,30.272590361445783,8,2,69.55
189,1081,2,1,40.0,0,0,13.0
190,1082,2,1,34.0,1,0,26.0
191,1083,1,1,30.272590361445783,0,0,26.0
192,1084,3,1,11.5,1,1,14.5
193,1085,2,1,61.0,0,0,12.35
194,1086,2,1,8.0,0,2,32.5
195,1087,3,1,33.0,0,0,7.8542
196,1088,1,1,6.0,0,2,134.5
197,1089,3,0,18.0,0,0,7.775
198,1090,2,1,23.0,0,0,10.5
199,1091,3,0,30.272590361445783,0,0,8.1125
200,1092,3,0,30.272590361445783,0,0,15.5
201,1093,3,1,0.33,0,2,14.4
202,1094,1,1,47.0,1,0,227.525
203,1095,2,0,8.0,1,1,26.0
204,1096,2,1,25.0,0,0,10.5
205,1097,1,1,30.272590361445783,0,0,25.7417
206,1098,3,0,35.0,0,0,7.75
207,1099,2,1,24.0,0,0,10.5
208,1100,1,0,33.0,0,0,27.7208
209,1101,3,1,25.0,0,0,7.8958
210,1102,3,1,32.0,0,0,22.525
211,1103,3,1,30.272590361445783,0,0,7.05
212,1104,2,1,17.0,0,0,73.5
213,1105,2,0,60.0,1,0,26.0
214,1106,3,0,38.0,4,2,7.775
215,1107,1,1,42.0,0,0,42.5
216,1108,3,0,30.272590361445783,0,0,7.8792
217,1109,1,1,57.0,1,1,164.8667
218,1110,1,0,50.0,1,1,211.5
219,1111,3,1,30.272590361445783,0,0,8.05
220,1112,2,0,30.0,1,0,13.8583
221,1113,3,1,21.0,0,0,8.05
222,1114,2,0,22.0,0,0,10.5
223,1115,3,1,21.0,0,0,7.7958
224,1116,1,0,53.0,0,0,27.4458
225,1117,3,0,30.272590361445783,0,2,15.2458
226,1118,3,1,23.0,0,0,7.7958
227,1119,3,0,30.272590361445783,0,0,7.75
228,1120,3,1,40.5,0,0,15.1
229,1121,2,1,36.0,0,0,13.0
230,1122,2,1,14.0,0,0,65.0
231,1123,1,0,21.0,0,0,26.55
232,1124,3,1,21.0,1,0,6.4958
233,1125,3,1,30.272590361445783,0,0,7.8792
234,1126,1,1,39.0,1,0,71.2833
235,1127,3,1,20.0,0,0,7.8542
236,1128,1,1,64.0,1,0,75.25
237,1129,3,1,20.0,0,0,7.225
238,1130,2,0,18.0,1,1,13.0
239,1131,1,0,48.0,1,0,106.425
240,1132,1,0,55.0,0,0,27.7208
241,1133,2,0,45.0,0,2,30.0
242,1134,1,1,45.0,1,1,134.5
243,1135,3,1,30.272590361445783,0,0,7.8875
244,1136,3,1,30.272590361445783,1,2,23.45
245,1137,1,1,41.0,1,0,51.8625
246,1138,2,0,22.0,0,0,21.0
247,1139,2,1,42.0,1,1,32.5
248,1140,2,0,29.0,1,0,26.0
249,1141,3,0,30.272590361445783,1,0,14.4542
250,1142,2,0,0.92,1,2,27.75
251,1143,3,1,20.0,0,0,7.925
252,1144,1,1,27.0,1,0,136.7792
253,1145,3,1,24.0,0,0,9.325
254,1146,3,1,32.5,0,0,9.5
255,1147,3,1,30.272590361445783,0,0,7.55
256,1148,3,1,30.272590361445783,0,0,7.75
257,1149,3,1,28.0,0,0,8.05
258,1150,2,0,19.0,0,0,13.0
259,1151,3,1,21.0,0,0,7.775
260,1152,3,1,36.5,1,0,17.4
261,1153,3,1,21.0,0,0,7.8542
262,1154,2,0,29.0,0,2,23.0
263,1155,3,0,1.0,1,1,12.1833
264,1156,2,1,30.0,0,0,12.7375
265,1157,3,1,30.272590361445783,0,0,7.8958
266,1158,1,1,30.272590361445783,0,0,0.0
267,1159,3,1,30.272590361445783,0,0,7.55
268,1160,3,0,30.272590361445783,0,0,8.05
269,1161,3,1,17.0,0,0,8.6625
270,1162,1,1,46.0,0,0,75.2417
271,1163,3,1,30.272590361445783,0,0,7.75
272,1164,1,0,26.0,1,0,136.7792
273,1165,3,0,30.272590361445783,1,0,15.5
274,1166,3,1,30.272590361445783,0,0,7.225
275,1167,2,0,20.0,1,0,26.0
276,1168,2,1,28.0,0,0,10.5
277,1169,2,1,40.0,1,0,26.0
278,1170,2,1,30.0,1,0,21.0
279,1171,2,1,22.0,0,0,10.5
280,1172,3,0,23.0,0,0,8.6625
281,1173,3,1,0.75,1,1,13.775
282,1174,3,0,30.272590361445783,0,0,7.75
283,1175,3,0,9.0,1,1,15.2458
284,1176,3,0,2.0,1,1,20.2125
285,1177,3,1,36.0,0,0,7.25
286,1178,3,1,30.272590361445783,0,0,7.25
287,1179,1,1,24.0,1,0,82.2667
288,1180,3,1,30.272590361445783,0,0,7.2292
289,1181,3,1,30.272590361445783,0,0,8.05
290,1182,1,1,30.272590361445783,0,0,39.6
291,1183,3,0,30.0,0,0,6.95
292,1184,3,1,30.272590361445783,0,0,7.2292
293,1185,1,1,53.0,1,1,81.8583
294,1186,3,1,36.0,0,0,9.5
295,1187,3,1,26.0,0,0,7.8958
296,1188,2,0,1.0,1,2,41.5792
297,1189,3,1,30.272590361445783,2,0,21.6792
298,1190,1,1,30.0,0,0,45.5
299,1191,3,1,29.0,0,0,7.8542
300,1192,3,1,32.0,0,0,7.775
301,1193,2,1,30.272590361445783,0,0,15.0458
302,1194,2,1,43.0,0,1,21.0
303,1195,3,1,24.0,0,0,8.6625
304,1196,3,0,30.272590361445783,0,0,7.75
305,1197,1,0,64.0,1,1,26.55
306,1198,1,1,30.0,1,2,151.55
307,1199,3,1,0.83,0,1,9.35
308,1200,1,1,55.0,1,1,93.5
309,1201,3,0,45.0,1,0,14.1083
310,1202,3,1,18.0,0,0,8.6625
311,1203,3,1,22.0,0,0,7.225
312,1204,3,1,30.272590361445783,0,0,7.575
313,1205,3,0,37.0,0,0,7.75
314,1206,1,0,55.0,0,0,135.6333
315,1207,3,0,17.0,0,0,7.7333
316,1208,1,1,57.0,1,0,146.5208
317,1209,2,1,19.0,0,0,10.5
318,1210,3,1,27.0,0,0,7.8542
319,1211,2,1,22.0,2,0,31.5
320,1212,3,1,26.0,0,0,7.775
321,1213,3,1,25.0,0,0,7.2292
322,1214,2,1,26.0,0,0,13.0
323,1215,1,1,33.0,0,0,26.55
324,1216,1,0,39.0,0,0,211.3375
325,1217,3,1,23.0,0,0,7.05
326,1218,2,0,12.0,2,1,39.0
327,1219,1,1,46.0,0,0,79.2
328,1220,2,1,29.0,1,0,26.0
329,1221,2,1,21.0,0,0,13.0
330,1222,2,0,48.0,0,2,36.75
331,1223,1,1,39.0,0,0,29.7
332,1224,3,1,30.272590361445783,0,0,7.225
333,1225,3,0,19.0,1,1,15.7417
334,1226,3,1,27.0,0,0,7.8958
335,1227,1,1,30.0,0,0,26.0
336,1228,2,1,32.0,0,0,13.0
337,1229,3,1,39.0,0,2,7.2292
338,1230,2,1,25.0,0,0,31.5
339,1231,3,1,30.272590361445783,0,0,7.2292
340,1232,2,1,18.0,0,0,10.5
341,1233,3,1,32.0,0,0,7.5792
342,1234,3,1,30.272590361445783,1,9,69.55
343,1235,1,0,58.0,0,1,512.3292
344,1236,3,1,30.272590361445783,1,1,14.5
345,1237,3,0,16.0,0,0,7.65
346,1238,2,1,26.0,0,0,13.0
347,1239,3,0,38.0,0,0,7.2292
348,1240,2,1,24.0,0,0,13.5
349,1241,2,0,31.0,0,0,21.0
350,1242,1,0,45.0,0,1,63.3583
351,1243,2,1,25.0,0,0,10.5
352,1244,2,1,18.0,0,0,73.5
353,1245,2,1,49.0,1,2,65.0
354,1246,3,0,0.17,1,2,20.575
355,1247,1,1,50.0,0,0,26.0
356,1248,1,0,59.0,2,0,51.4792
357,1249,3,1,30.272590361445783,0,0,7.8792
358,1250,3,1,30.272590361445783,0,0,7.75
359,1251,3,0,30.0,1,0,15.55
360,1252,3,1,14.5,8,2,69.55
361,1253,2,0,24.0,1,1,37.0042
362,1254,2,0,31.0,0,0,21.0
363,1255,3,1,27.0,0,0,8.6625
364,1256,1,0,25.0,1,0,55.4417
365,1257,3,0,30.272590361445783,1,9,69.55
366,1258,3,1,30.272590361445783,1,0,14.4583
367,1259,3,0,22.0,0,0,39.6875
368,1260,1,0,45.0,0,1,59.4
369,1261,2,1,29.0,0,0,13.8583
370,1262,2,1,21.0,1,0,11.5
371,1263,1,0,31.0,0,0,134.5
372,1264,1,1,49.0,0,0,0.0
373,1265,2,1,44.0,0,0,13.0
374,1266,1,0,54.0,1,1,81.8583
375,1267,1,0,45.0,0,0,262.375
376,1268,3,0,22.0,2,0,8.6625
377,1269,2,1,21.0,0,0,11.5
378,1270,1,1,55.0,0,0,50.0
379,1271,3,1,5.0,4,2,31.3875
380,1272,3,1,30.272590361445783,0,0,7.75
381,1273,3,1,26.0,0,0,7.8792
382,1274,3,0,30.272590361445783,0,0,14.5
383,1275,3,0,19.0,1,0,16.1
384,1276,2,1,30.272590361445783,0,0,12.875
385,1277,2,0,24.0,1,2,65.0
386,1278,3,1,24.0,0,0,7.775
387,1279,2,1,57.0,0,0,13.0
388,1280,3,1,21.0,0,0,7.75
389,1281,3,1,6.0,3,1,21.075
390,1282,1,1,23.0,0,0,93.5
391,1283,1,0,51.0,0,1,39.4
392,1284,3,1,13.0,0,2,20.25
393,1285,2,1,47.0,0,0,10.5
394,1286,3,1,29.0,3,1,22.025
395,1287,1,0,18.0,1,0,60.0
396,1288,3,1,24.0,0,0,7.25
397,1289,1,0,48.0,1,1,79.2
398,1290,3,1,22.0,0,0,7.775
399,1291,3,1,31.0,0,0,7.7333
400,1292,1,0,30.0,0,0,164.8667
401,1293,2,1,38.0,1,0,21.0
402,1294,1,0,22.0,0,1,59.4
403,1295,1,1,17.0,0,0,47.1
404,1296,1,1,43.0,1,0,27.7208
405,1297,2,1,20.0,0,0,13.8625
406,1298,2,1,23.0,1,0,10.5
407,1299,1,1,50.0,1,1,211.5
408,1300,3,0,30.272590361445783,0,0,7.7208
409,1301,3,0,3.0,1,1,13.775
410,1302,3,0,30.272590361445783,0,0,7.75
411,1303,1,0,37.0,1,0,90.0
412,1304,3,0,28.0,0,0,7.775
413,1305,3,1,30.272590361445783,0,0,8.05
414,1306,1,0,39.0,0,0,108.9
415,1307,3,1,38.5,0,0,7.25
416,1308,3,1,30.272590361445783,0,0,8.05
417,1309,3,1,30.272590361445783,1,1,22.3583
